Search_Pattern,Emergence_Year,Growth_Rate_2024,Search_Volume_2024,Business_Opportunity
Sustainable formal wear,2023,156.7,28400,8.6
Slim fit vs regular fit,2022,89.3,67200,7.4
Wedding suit trends 2024,2024,134.2,89600,9.2
Affordable tuxedo rental,2023,67.8,45300,8.8
Custom suit measurements,2023,78.9,38700,8.1
Formal wear for plus size,2024,112.4,31200,8.9
Vintage formal wear styles,2024,98.7,24800,7.3
Online suit fitting,2023,145.3,52100,8.7
Group tuxedo rentals,2022,56.9,39400,8.5
Formal wear accessories,2023,87.1,44600,7.8
Last-minute tuxedo rental,2024,167.2,33800,8.0
Destination wedding attire,2023,76.4,29700,7.9
