Group_Dynamic,Decision_Weight,Group_Purchase_Likelihood,Satisfaction_Score,Repeat_Behavior_Rate
Groom Decision Leadership,8.9,92,8.7,34
Best Man Influence,7.8,78,8.1,28
Group Consensus Building,8.2,85,8.5,31
Budget Coordination,8.6,88,7.9,29
Style Synchronization,8.4,86,8.8,36
Timeline Coordination,7.1,74,7.6,22
Peer Pressure Conformity,7.9,81,7.3,25
Individual Preferences,6.8,62,8.9,41
Family Input,6.4,58,7.4,19
Professional Consultation,7.5,71,8.2,26
Brand Loyalty Sharing,6.9,65,7.7,24
Experience Sharing,7.2,69,8.0,27
