Planning_Indicator,Timeline_Before_Wedding,Detection_Reliability,Spending_Increase,Behavioral_Intensity,Partner_Involvement,Urgency_Level
Wedding venue research,12-18 months,9,0,8,9,6
Formal wear shopping surge,6-12 months,10,400,9,6,8
Groomsmen outfit coordination,4-8 months,9,300,8,4,9
Wedding suit appointments,3-6 months,10,350,9,7,9
Tailor/alteration consultations,2-4 months,8,200,7,5,10
Wedding photographer meetings,8-15 months,8,150,6,8,7
Color scheme discussions,6-12 months,7,50,6,9,6
Seasonal fabric research,4-8 months,6,100,5,6,6
Group booking inquiries,3-6 months,9,250,8,7,8
Wedding timeline creation,8-15 months,8,25,7,9,7
Budget planning sessions,10-18 months,9,100,8,10,8
Vendor research activities,6-15 months,7,75,6,8,6
Pinterest/inspiration saving,6-18 months,6,0,5,7,4
Wedding show attendance,8-15 months,7,100,6,8,5
Dress code consultation,4-8 months,8,150,7,8,8
