Undertone_Type,Video_Performance_Score,LED_Compatibility,Webcam_Accuracy,Professional_Rating,Fabric_Recommendation
Cool Blue,8.7,9.2,8.9,9.0,"Navy, Charcoal, White"
Cool Pink,8.2,8.8,8.5,8.6,"Burgundy, Navy, Cream"
Neutral Beige,9.1,8.9,9.3,9.4,Most colors work well
Warm Yellow,6.8,5.4,6.1,6.5,"Deep Blues, Purples"
Warm Peach,7.9,7.1,7.4,7.7,"Earth tones, Deep reds"
Deep Olive,7.3,6.8,7.0,7.2,"Rich browns, Deep greens"
Light Olive,8.0,7.4,7.8,7.9,"Muted tones, Soft colors"
Golden,7.6,6.9,6.8,7.1,Rich jewel tones
Rosy,8.4,8.1,8.2,8.3,"Soft pastels, Light colors"
Ashen,6.2,5.8,5.9,6.1,Bold colors needed
Ruddy,5.9,5.2,5.4,5.6,"Avoid reds, Use blues"
Sallow,6.1,5.5,5.7,5.9,Warm colors only
