Referral_Trigger,Referral_Likelihood,Referral_Quality_Score,Word_of_Mouth_Reach,Conversion_Rate_Referred,Emotional_Intensity,Trigger_Context
Exceptional Fit Achievement,89,8.8,6.2,65,9.1,Personal Achievement
Outstanding Service Recovery,86,8.6,5.8,62,8.9,Problem Resolution
Exclusive Event Experience,79,7.9,4.9,54,8.2,VIP Treatment
Perfect Wedding Coordination,92,9.1,7.8,71,9.4,Group Coordination
Professional Success Attribution,84,8.4,6.5,67,8.7,Career Impact
Social Recognition,76,7.6,5.1,52,7.8,Social Status
Value for Money Realization,81,8.1,5.9,59,8.0,Financial Satisfaction
Convenience Excellence,74,7.4,4.6,48,7.5,Ease of Process
Style Transformation,83,8.3,6.1,61,8.5,Style Confidence
Quality Durability Proof,87,8.7,6.7,64,8.8,Product Longevity
Expert Guidance Success,82,8.2,6.3,63,8.4,Expert Consultation
Milestone Celebration,85,8.5,6.9,66,8.6,Special Occasion
